mc,counts,ion,charge,ion2,charge2
0.97,3473135,H,1.0,,
1.99,7501,HH,1.0,,
3.02,32,HHH,1.0,,
5.99,428737,C,2.0,,
6.54,4779,C,2.0,,
7.04,33722291,N,2.0,,
7.45,135428,N,2.0,,
7.98,1324496,O,2.0,,
9.03,2672,O,2.0,,
11.96,5497465,Mg,2.0,C,1.0
12.55,660898,Mg,2.0,,
12.99,1062,HC,1.0,,
13.05,737573,Mg,2.0,C,1.0
13.95,90224317,N,1.0,Si,2.0
14.5,1529567,Si,2.0,,
14.98,1475712,Si,2.0,N,1.0
15.97,569,NHH,1.0,,
16.04,47879690,S,2.0,O,1.0
16.52,381338,S,2.0,,
16.97,2001922,S,2.0,,
17.02,11632,HO,1.0,OH,1.0
17.95,5287,O,1.0,OHH,1.0
19.96,21045380,Ca,2.0,,
20.99,151858,Ca,2.0,,
21.55,21698,Ca,2.0,,
21.97,4534512,Ca,2.0,,
23.97,7900775,Mg,1.0,,
24.01,43535,Ca,2.0,CC,1.0
25.01,1018836,Mg,1.0,MgH,1.0
25.98,1138919,Mg,1.0,CN,1.0
26.02,98,MgHH,1.0,,
26.05,2227,MgH,1.0,,
26.95,168,CN,1.0,,
27.0,134,NC,1.0,,
27.04,2607,MgH,1.0,NC,1.0
27.95,1758182,NN,1.0,,
28.0,18304422,Si,1.0,CO,1.0
28.05,826,OC,1.0,,
28.97,103375,SiH,1.0,HSi,1.0
29.01,7069,NN,1.0,,
29.05,942593,Si,1.0,HNN,1.0
30.0,3580678,Zr,3.0,Si,1.0
30.32333396911621,604743,Zr,3.0,,
30.67666603088379,920502,Zr,3.0,,
30.96,440,NHO,1.0,,
31.01,4037,SiH,1.0,HSi,1.0
31.31333396911621,925858,Zr,3.0,,
31.97,81014399,S,1.0,Zr,3.0
32.96,680981,S,1.0,HOO,1.0
33.01,199988,SH,1.0,,
33.95,2333,SH,1.0,SHH,1.0
34.01,3574870,S,1.0,,
34.98,8842,SH,1.0,,
35.02,3335787,Ge,2.0,,
35.99,4458626,Ge,2.0,SHH,1.0
36.04,2369,MgC,1.0,,
36.52,1269223,Ge,2.0,,
37.01,5939672,Ge,2.0,MgC,1.0
37.55,1269231,Ge,2.0,,
37.98,324713,MgN,1.0,MgC,1.0
39.01,41124,MgN,1.0,,
39.05,1280,MgN,1.0,,
40.02,11021550,Ca,1.0,MgN,1.0
41.01,58473,CaH,1.0,MgO,1.0
41.96,2047,MgO,1.0,,
42.01,2726528,SiN,1.0,NSi,1.0
42.96,12524,Ca,1.0,NNN,1.0
42.99,60005,NSi,1.0,,
43.04,77980,SiN,1.0,SiN,1.0
43.99,132771,OSi,1.0,SiN,1.0
44.03,2436438,Ca,1.0,SiO,1.0
45.02,7486925,Zr,2.0,W,4.0
45.52,6849005,W,4.0,Zr,2.0
45.76,2835258,W,4.0,,
45.97,13381509,W,4.0,SN,1.0
46.5,4679170,W,4.0,,
46.99,2543600,Zr,2.0,SN,1.0
47.05,931281,Mo,2.0,,
47.53,1592154,Mo,2.0,,
48.01,2341873,Mo,2.0,Zr,2.0
48.05,22573,Ca,1.0,,
48.46,961311,Mo,2.0,,
49.0,2415489,Mo,2.0,SO,1.0
49.03,112,CaH,1.0,,
49.95,5216,SO,1.0,,
50.03,961542,Mo,2.0,SO,1.0
50.95,19,SHO,1.0,,
51.97,26307,MgNN,1.0,,
52.0,137810,MgSi,1.0,CaC,1.0
52.99,23792,MgSi,1.0,MgSi,1.0
53.05,3436,MgNN,1.0,MgNN,1.0
53.95,656544,CaN,1.0,MgNN,1.0
54.0,24022,MgSi,1.0,MgSi,1.0
54.05,28,CaC,1.0,,
54.98,2609,CaN,1.0,,
55.05,1509,MgSi,1.0,MgSi,1.0
55.99,598637,SiSi,1.0,SiNN,1.0
56.05,38932,CaO,1.0,,
56.53,881636,In,2.0,,
57.05,57397,SiSi,1.0,SiSi,1.0
57.49,19621330,In,2.0,,
57.96,3029,SiNN,1.0,CaO,1.0
58.0,176882,CaN,1.0,SiSi,1.0
58.04,285,CaO,1.0,,
58.95,1435,SiSi,1.0,CaN,1.0
59.0,883,SiSi,1.0,CaO,1.0
59.98,1865388,SSi,1.0,SNN,1.0
60.70666793823242,7900785,W,3.0,,
61.0,4312128,W,3.0,SSi,1.0
61.05,83268,SSi,1.0,SNN,1.0
61.29333206176758,9222570,W,3.0,,
61.96,7217600,W,3.0,SSi,1.0
62.04,9205,SNN,1.0,,
62.95,489,SSi,1.0,SNN,1.0
63.03,3683,SSi,1.0,SNN,1.0
63.99,2930,SSi,1.0,SOO,1.0
64.04,83,CaO,1.0,,
66.05,10,SOO,1.0,,
67.95,70075,CaNN,1.0,,
68.0,363698,CaSi,1.0,MgNNO,1.0
68.98,18797,CaSi,1.0,CaNN,1.0
69.03,280,CaNN,1.0,,
69.95,12218,CaSi,1.0,,
70.01,2202150,Ge,1.0,CaNN,1.0
70.04,2615,CaSi,1.0,,
70.95,374,CaSi,1.0,,
71.03,8982,GeH,1.0,CaSi,1.0
71.95,78326,CaSi,1.0,,
72.01,2958438,Ge,1.0,CaNN,1.0
72.96,65,CaNN,1.0,,
73.0,853516,Ge,1.0,GeH,1.0
74.04,4106225,Ge,1.0,Se,1.0
74.97,15632,GeH,1.0,,
75.0,838035,Ge,1.0,SeH,1.0
75.95,80,GeHH,1.0,,
76.01,1807695,Se,1.0,GeH,1.0
77.04,1525417,Se,1.0,SeH,1.0
77.96,4706445,Se,1.0,CaSi,1.0
78.04,2851,SeH,1.0,SNNO,1.0
78.95,8677,SeH,1.0,,
79.99,9933553,Se,1.0,,
80.04,66,SeHH,1.0,,
81.04,18322,SeH,1.0,,
81.98,1883724,Se,1.0,GeC,1.0
82.99,3475,SeH,1.0,,
83.98,246,CaNNO,1.0,,
84.02,153575,GeN,1.0,GeC,1.0
85.0,1007,GeN,1.0,GeC,1.0
85.96,209056,GeN,1.0,GeO,1.0
85.99,1857,GeC,1.0,,
86.02,50,SeC,1.0,,
86.98,58329,GeN,1.0,GeC,1.0
87.05,809,GeN,1.0,,
87.97,286879,GeN,1.0,SeN,1.0
88.98,60394,GeN,1.0,GeO,1.0
89.03,1143,GeN,1.0,GeHO,1.0
89.98,4255497,Zr,1.0,W,2.0
90.04,88401,SeN,1.0,GeO,1.0
90.98,999373,Zr,1.0,SeN,1.0
91.03,2382454,W,2.0,ZrH,1.0
91.53,1288745,W,2.0,,
91.97,5369,SeO,1.0,SeC,1.0
92.02,5338242,W,2.0,Zr,1.0
92.98,2137416,W,2.0,ZrH,1.0
93.05,16,SeC,1.0,,
93.97,2456497,Zr,1.0,Mo,1.0
94.05,414,SeC,1.0,,
94.96,1023114,Mo,1.0,ZrH,1.0
95.0,3583,MoH,1.0,SeN,1.0
95.95,311573,Zr,1.0,SeN,1.0
96.04,1090644,Mo,1.0,SeO,1.0
96.99,618998,Mo,1.0,MoH,1.0
97.05,654,ZrH,1.0,,
97.95,81400,GeSi,1.0,GeNN,1.0
98.01,1544546,Mo,1.0,SeO,1.0
98.05,3259,SeO,1.0,,
98.99,48,GeNN,1.0,,
99.03,8438,MoH,1.0,GeSi,1.0
100.01,723837,Mo,1.0,GeSi,1.0
101.03,37074,GeSi,1.0,GeSi,1.0
102.0,151582,GeSi,1.0,GeNN,1.0
102.98,6515,GeSi,1.0,SeSi,1.0
103.04,31670,GeSi,1.0,GeNN,1.0
103.96,1361,GeSi,1.0,,
104.0,1330,ZrC,1.0,MoC,1.0
104.05,363846,ZrN,1.0,SeSi,1.0
104.97,103427,ZrN,1.0,SeSi,1.0
106.03,1019700,Cd,1.0,ZrN,1.0
107.05,9505,SeSi,1.0,ZrO,1.0
107.98,299649,SeSi,1.0,ZrN,1.0
108.04,39419,MoN,1.0,SeSi,1.0
109.02,71015,MoN,1.0,SeSi,1.0
109.97,70747,MoN,1.0,SeSi,1.0
110.03,7290329,Cd,1.0,SeSi,1.0
110.95,4477,MoO,1.0,SeSi,1.0
111.02,7460550,Cd,1.0,MoN,1.0
111.95,1340,SeSi,1.0,MoC,1.0
112.03,14059309,Cd,1.0,MoN,1.0
112.95,1434555,In,1.0,CdH,1.0
113.04,7058511,Cd,1.0,,
113.98,16663702,Cd,1.0,MoN,1.0
114.05,2842,InH,1.0,GeNNO,1.0
114.95,162,MoN,1.0,,
114.98,61,CdHH,1.0,,
115.04,31184312,In,1.0,CdH,1.0
116.03,4403447,Cd,1.0,InH,1.0
116.98,339,InHH,1.0,,
117.03,10280,CdH,1.0,,
117.97,118719,ZrSi,1.0,CdC,1.0
118.0,29286,ZrNN,1.0,GeNNO,1.0
118.96,6254,ZrSi,1.0,ZrNN,1.0
119.01,26013,ZrSi,1.0,,
119.05,6394,ZrNN,1.0,,
119.99,114599,ZrSi,1.0,MoSi,1.0
120.04,4008,ZrSi,1.0,ZrNN,1.0
120.97,4698,ZrSi,1.0,MoSi,1.0
121.96,1119017,Te,1.0,ZrSi,1.0
122.99,397752,Te,1.0,MoSi,1.0
123.03,8654,MoNN,1.0,ZrSi,1.0
123.98,2250287,Te,1.0,CdN,1.0
124.95,3154940,Te,1.0,CdN,1.0
125.95,8202557,Te,1.0,CdN,1.0
126.05,11181,MoNN,1.0,MoSi,1.0
126.95,9368,CdO,1.0,TeHH,1.0
127.02,335053,CdN,1.0,InN,1.0
128.02,13363565,Te,1.0,CdN,1.0
128.97,8883,CdO,1.0,,
129.0,941793,InN,1.0,TeH,1.0
129.95,13538637,Te,1.0,TeHH,1.0
129.99,187633,CdN,1.0,CdO,1.0
130.97,29138,TeH,1.0,CdN,1.0
131.04,49137,InO,1.0,CdHO,1.0
131.95,489,InHO,1.0,TeHH,1.0
132.01,5444,CdO,1.0,,
132.98,107,InO,1.0,,
133.05,21,CdHO,1.0,,
133.99,217,TeC,1.0,,
134.03,16747,CdSi,1.0,CdNN,1.0
135.02,766,CdSi,1.0,TeC,1.0
135.99,28547,TeN,1.0,ZrNNO,1.0
136.02,379,TeC,1.0,,
136.05,445,CdSi,1.0,,
136.95,557,TeC,1.0,,
137.0,9881,TeN,1.0,,
137.04,99,TeN,1.0,,
137.97,216584,CdSi,1.0,TeN,1.0
138.04,32538,La,1.0,,
138.99,32761876,La,1.0,CdSi,1.0
139.98,612462,CdSi,1.0,TeN,1.0
140.96,81567389,Pr,1.0,CdSi,1.0
141.96,954566,TeN,1.0,CdSi,1.0
142.98,588122,InSi,1.0,InNN,1.0
144.0,1869770,Sm,1.0,TeN,1.0
144.98,4139,CdSi,1.0,CdNN,1.0
145.02,19623,InSi,1.0,SmH,1.0
145.98,27696,TeO,1.0,CdSi,1.0
146.05,128,CdOO,1.0,TeO,1.0
146.98,352,InOO,1.0,TeHO,1.0
147.04,6508877,Sm,1.0,,
148.0,4916438,Sm,1.0,SmH,1.0
148.96,5988159,Sm,1.0,,
149.02,9870,SmH,1.0,SmHH,1.0
149.95,4323,TeNN,1.0,,
149.98,12013,SmH,1.0,SmHH,1.0
150.03,3225715,Sm,1.0,TeSi,1.0
150.99,20300,LaC,1.0,SmH,1.0
151.05,1507,TeNN,1.0,,
151.95,11187481,Sm,1.0,TeSi,1.0
