mc,counts,ion,charge,ion2,charge2
1.0,4612694,H,1.0,,
2.0,8990,HH,1.0,,
3.0,95,HHH,1.0,,
4.5,46103896,Be,2.0,,
6.0,3036743,C,2.0,,
6.5,33775,C,2.0,,
7.0,1423503,N,2.0,,
7.5,5716,N,2.0,,
8.0,55252794,O,2.0,,
9.0,27312024,Be,1.0,O,2.0
10.0,101838,BeH,1.0,,
11.0,914,BeHH,1.0,,
12.0,1700576,C,1.0,,
13.0,18914,C,1.0,,
14.0,2295973,N,1.0,,
15.0,9220,N,1.0,,
16.0,100459622,O,1.0,,
17.0,267591,HO,1.0,,
18.0,203314,O,1.0,HHO,1.0
19.0,536,HO,1.0,,
23.0,13831168,Ti,2.0,,
23.5,12620941,Ti,2.0,,
24.0,127598639,Ti,2.0,CC,1.0
24.5,9508928,Ti,2.0,,
25.0,9336174,Ti,2.0,CC,1.0
26.0,3731,NC,1.0,,
27.0,41,NC,1.0,,
28.0,2895,NN,1.0,,
30.0,10684578,Zr,3.0,,
30.33333396911621,2344383,Zr,3.0,,
30.66666603088379,3568441,Zr,3.0,,
31.33333396911621,3589188,Zr,3.0,,
32.0,6835190,OO,1.0,Zr,3.0
33.0,41555,HOO,1.0,,
34.0,25367,OO,1.0,OO,1.0
35.0,166,HOO,1.0,HOO,1.0
36.0,25,OO,1.0,,
39.0,85937660,K,1.0,,
41.0,6177921,K,1.0,,
44.0,315,NNO,1.0,,
45.0,29679383,Zr,2.0,,
45.5,6512175,Zr,2.0,,
46.0,17796103,Zr,2.0,Ti,1.0
47.0,17199846,Zr,2.0,Ti,1.0
48.0,75279224,Ti,1.0,Zr,2.0
49.0,5751664,Ti,1.0,TiH,1.0
50.0,5351694,Ti,1.0,TiH,1.0
51.0,24261,TiH,1.0,,
60.0,22363,TiN,1.0,,
61.0,20496,TiN,1.0,TiN,1.0
62.0,1067466,TiO,1.0,TiN,1.0
63.0,801941,TiO,1.0,TiN,1.0
64.0,7960368,TiO,1.0,TiN,1.0
65.0,593629,TiO,1.0,TiO,1.0
66.0,597149,TiO,1.0,TiO,1.0
67.0,1186,TiO,1.0,,
68.0,1164,TiO,1.0,,
74.0,2074675,Se,1.0,,
76.0,20746752,Se,1.0,,
77.0,17519480,Se,1.0,,
78.0,54291143,Se,1.0,TiOO,1.0
79.0,108649,TiOO,1.0,,
80.0,115436541,Se,1.0,TiOO,1.0
81.0,82294,TiOO,1.0,TiOO,1.0
82.0,21753603,Se,1.0,TiOO,1.0
83.0,328,TiOO,1.0,TiOO,1.0
84.0,322,TiOO,1.0,TiOO,1.0
90.0,15136484,Zr,1.0,,
91.0,3404122,Zr,1.0,ZrH,1.0
92.0,5073484,Zr,1.0,ZrH,1.0
93.0,27691,ZrH,1.0,,
94.0,5084683,Zr,1.0,,
95.0,27852,ZrH,1.0,,
96.0,822954,Zr,1.0,,
97.0,4507,ZrH,1.0,,
106.0,1386231,ZrO,1.0,TiTiN,1.0
107.0,304848,ZrO,1.0,TiTiN,1.0
108.0,473841,ZrO,1.0,TiTiN,1.0
109.0,8384,TiTiN,1.0,TiTiN,1.0
110.0,503894,ZrO,1.0,TiTiN,1.0
111.0,6087,TiTiN,1.0,TiTiN,1.0
112.0,81796,ZrO,1.0,TiTiN,1.0
113.0,396,TiTiN,1.0,TiTiN,1.0
114.0,345,TiTiN,1.0,ZrO,1.0
