mc,counts,ion,charge,ion2,charge2
1.0,3399134,H,1.0,,
2.0,7848,HH,1.0,,
3.0,65,HHH,1.0,,
6.0,1678351,C,2.0,,
6.5,18667,C,2.0,,
7.0,6801531,N,2.0,,
7.5,27315,N,2.0,,
8.0,2695559,O,2.0,,
9.0,5401,O,2.0,,
12.0,1040578,C,1.0,,
13.0,11573,C,1.0,,
14.0,10151538,N,1.0,,
15.0,40769,N,1.0,,
16.0,5085961,O,1.0,,
17.0,9785,HO,1.0,,
18.0,10259,O,1.0,HHO,1.0
19.0,305769228,F,1.0,,
23.0,50961539,Na,1.0,,
24.0,2497,CC,1.0,,
25.0,55,CC,1.0,CC,1.0
26.0,11894,NC,1.0,,
27.0,180,NC,1.0,NC,1.0
28.0,81665,NN,1.0,,
29.0,655,NN,1.0,NN,1.0
32.0,23426,OO,1.0,,
33.0,134,HOO,1.0,,
34.0,93,OO,1.0,OO,1.0
37.5,50961539,As,2.0,,
39.0,94992305,K,1.0,,
41.0,6828845,K,1.0,,
44.0,736,NNO,1.0,COO,1.0
48.0,210,OOO,1.0,,
75.0,33125000,As,1.0,,
150.0,2450073,AsAs,1.0,,
225.0,174332,AsAsAs,1.0,,
300.0,14497,AsAsAsAs,1.0,,
