mc,counts,ion,charge,ion2,charge2
1.0,11968624,H,1.0,,
1.99,70140,H2,1.0,,
3.0,792,H3,1.0,,
6.0,5909589,C,2.0,,
6.52,65719,C,2.0,,
6.95,17961509,N,2.0,,
7.54,59216,N,2.0,,
8.03,85242266,O,2.0,,
8.98,192164,O,2.0,,
10.97,12495,N2O,4.0,,
11.04,28630,CO2,4.0,,
11.22,336,CO2,4.0,N2O,4.0
11.27,57,N2O,4.0,,
11.48,113,CO2,4.0,CO2,4.0
11.55,29,N2O,4.0,,
12.0,78091745,Mg,2.0,C,1.0
12.47,3795,OOO,4.0,OOO,4.0
12.53,9271025,Mg,2.0,,
13.03,10489687,Mg,2.0,C,1.0
13.78,1983,FeH,4.0,,
14.05,26808234,N,1.0,,
14.23,33211,FeH,4.0,,
14.53,1030,FeH,4.0,,
14.616666666666665,20937,CO2,3.0,,
14.676666666666666,17649,N2O,3.0,,
14.73,117,FeH,4.0,,
14.97,108030,N,1.0,CO2,3.0
15.283333333333333,49,CO2,3.0,,
15.383333333333335,90,CO2,3.0,N2O,3.0
15.96,236032116,O,1.0,S,2.0
16.26,850,CuH2,4.0,,
16.45,901683,S,2.0,,
16.49,24108,CuH,4.0,,
16.616666666666667,3663,OOO,3.0,OOO,3.0
16.71666666666667,2034,OOO,3.0,CuH2,4.0
16.96,4239232,S,2.0,,
17.05,740126,HO,1.0,,
17.48,36637,FeO,4.0,,
17.74,464,FeHO,4.0,,
18.05,1469373,FeO,4.0,Fe,3.0
18.25,20224,FeO,4.0,FeHO,4.0
18.35333333333333,2414,FeH,3.0,,
18.45,159,FeHO,4.0,,
18.52,3470,FeO,4.0,FeO,4.0
18.666666666666668,6376154,Fe,3.0,,
18.8,56,FeO,4.0,FeHO,4.0
18.97,39617,FeH,3.0,H3O,1.0
19.05,218592,Fe,3.0,HO,1.0
19.313333333333333,22855,Fe,3.0,,
19.35333333333333,853,FeH,3.0,,
19.62666666666667,108,FeH,3.0,,
19.78,703466,CuO,4.0,,
19.96,21757016,Ca,2.0,,
20.01,1428,C2O,2.0,,
20.23,210855,CuO,4.0,,
20.27,1121,CuO,4.0,,
20.75,561,CuO,4.0,,
21.02,157003,Ca,2.0,,
21.35333333333333,49551,CuH,3.0,,
21.45,48841,FeS,4.0,,
21.49,22427,Ca,2.0,,
21.656666666666666,859,CuH2,3.0,,
21.74,394,FeS,4.0,,
21.98,5272910,Ca,2.0,FeS,4.0
22.23,14590,FeS,4.0,,
22.26,4981,FeS,4.0,,
22.313333333333333,376,CuH2,3.0,,
22.45,1882,FeS,4.0,,
22.52,36657,FeS,4.0,FeS,4.0
22.55,462,CO2,2.0,,
22.7,30,FeS,4.0,,
22.75,574,FeS,4.0,,
22.96,170,CO2,2.0,FeS,4.0
23.03,70,CO2,2.0,,
23.383333333333333,32684,FeO,3.0,,
23.71666666666667,586,FeHO,3.0,,
23.96,61951,Ca,2.0,C2,1.0
24.01,119877453,Mg,1.0,OOO,2.0
24.363333333333333,20650,FeO,3.0,FeHO,3.0
24.666666666666668,3989,FeO,3.0,FeO,3.0
24.99,14955574,Mg,1.0,OOO,2.0
25.05,4916,OOO,2.0,OOO,2.0
25.95,16598143,Mg,1.0,,
25.99,4399,CMo,4.0,,
26.05,49490,CN,1.0,,
26.2,64,CMo,4.0,,
26.383333333333333,488105,CuO,3.0,,
26.5,3654,CMo,4.0,,
26.72,4599,CMo,4.0,,
26.76,35,CMo,4.0,,
26.98,137231,MoO,4.0,CMo,4.0
27.05,1524588,Fe,2.0,CuO,3.0
27.25,3489,CMo,4.0,CMo,4.0
27.48,81422,MoO,4.0,CMo,4.0
27.51,251,MoO,4.0,CMo,4.0
27.71,124889,MoO,4.0,CuO,3.0
27.99,20877619,Fe,2.0,N2,1.0
28.04,115917,MoO,4.0,MoO,4.0
28.25,65137,MoO,4.0,MoO,4.0
28.46,132847,MoO,4.0,,
28.5,204,MoO,4.0,,
28.53,544604,Fe,2.0,FeH,2.0
28.636666666666667,45743,FeS,3.0,,
28.76,112,MoO,4.0,,
29.04,122859,Fe,2.0,MoO,4.0
29.32333333333333,561099,FeS,3.0,FeS,3.0
29.48,125,MoO,4.0,,
29.55,148,FeH,2.0,,
29.666666666666668,6500,FeS,3.0,,
29.706666666666667,18532,FeS,3.0,,
29.95,109,FeS,3.0,,
30.02,36433,FeS,3.0,FeS,3.0
30.37333333333333,542,FeS,3.0,,
30.616666666666667,103,FeS,3.0,,
30.656666666666666,3706900,Mo,3.0,,
31.37333333333333,2329348,Mo,3.0,,
31.46,17073646,Cu,2.0,,
31.69666666666667,3625784,Mo,3.0,,
32.0,12701253,O2,1.0,Mo,3.0
32.05,159813082,S,1.0,,
32.21,32978,InO,4.0,,
32.303333333333335,2189158,Mo,3.0,,
32.46,7139593,Cu,2.0,CuH2,2.0
