Element,Symbol,Most Common Charge State,Second Most Common Charge State,Sometimes,Rarely
Hydrogen,H,1,,,
Helium,He,1,,,
Lithium,Li,1,2.0,,
Beryllium,Be,2,1.0,,
Boron,B,1,2.0,3.0,
Carbon,C,2,1.0,,
Nitrogen,N,1,2.0,,
Oxygen,O,1,2.0,,
Fluorine,F,1,,,
Neon,Ne,1,,,
Sodium,Na,1,,,
Magnesium,Mg,1,2.0,,
Aluminium,Al,2,1.0,3.0,
Silicon,Si,2,1.0,3.0,
Phosphorus,P,2,1.0,3.0,
Sulfur,S,1,2.0,,
Chlorine,Cl,2,1.0,,
Argon,Ar,1,,,
Potassium,K,1,,,
Calcium,Ca,2,1.0,,
Scandium,Sc,1,2.0,,
Titanium,Ti,2,1.0,3.0,
Vanadium,V,2,1.0,,
Chromium,Cr,2,1.0,,
Manganese,Mn,2,1.0,,
Iron,Fe,2,1.0,3.0,
Cobalt,Co,2,1.0,,
Nickel,Ni,2,1.0,,
Copper,Cu,1,2.0,,
Zinc,Zn,1,2.0,,
Gallium,Ga,1,2.0,,
Germanium,Ge,2,1.0,,
Arsenic,As,2,1.0,,
Selenium,Se,1,2.0,,
Bromine,Br,1,,,
Krypton,Kr,1,,,
Rubidium,Rb,1,,,
Strontium,Sr,1,,,
Yttrium,Y,2,1.0,,
Zirconium,Zr,2,4.0,3.0,
Niobium,Nb,2,1.0,,
Molybdenum,Mo,2,3.0,1.0,
Technetium,Tc,1,2.0,,
Ruthenium,Ru,2,3.0,1.0,
Rhodium,Rh,2,1.0,,
Palladium,Pd,1,2.0,,
Silver,Ag,1,,,
Cadmium,Cd,1,,,
Indium,In,1,2.0,,
Tin,Sn,2,1.0,,
Antimony,Sb,1,2.0,,
Tellurium,Te,1,,,
Iodine,I,1,,,
Xenon,Xe,1,2.0,,
Cesium,Cs,1,2.0,,
Barium,Ba,2,,,
Lanthanum,La,1,2.0,3.0,
Cerium,Ce,1,2.0,3.0,
Praseodymium,Pr,1,2.0,3.0,
Neodymium,Nd,1,2.0,3.0,
Promethium,Pm,1,2.0,3.0,
Samarium,Sm,1,2.0,3.0,
Europium,Eu,1,2.0,3.0,
Gadolinium,Gd,1,2.0,3.0,
Terbium,Tb,1,2.0,3.0,
Dysprosium,Dy,1,2.0,3.0,
Holmium,Ho,1,2.0,3.0,
Erbium,Er,1,2.0,3.0,
Thulium,Tm,1,2.0,3.0,
Ytterbium,Yb,1,2.0,3.0,
Lutetium,Lu,1,2.0,3.0,
Hafnium,Hf,2,3.0,1.0,
Tantalum,Ta,2,3.0,1.0,
Tungsten,W,3,4.0,2.0,1.0
Rhenium,Re,2,1.0,,
Osmium,Os,2,,,
Iridium,Ir,2,,,
Platinum,Pt,2,1.0,,
Gold,Au,1,2.0,,
Mercury,Hg,1,,,
Thallium,Tl,1,,,
Lead,Pb,1,2.0,,
Bismuth,Bi,1,2.0,,
Polonium,Po,1,,,
Astatine,At,1,,,
Radon,Rn,1,2.0,,
Francium,Fr,1,,,
Radium,Ra,1,,,
Actinium,Ac,1,,,
Thorium,Th,1,,,
Protactinium,Pa,1,,,
Uranium,U,2,1.0,,
Neptunium,Np,1,,,
Plutonium,Pu,1,2.0,,
Americium,Am,1,,,
Curium,Cm,1,,,
Berkelium,Bk,1,,,
Californium,Cf,1,,,
Einsteinium,Es,1,,,
Fermium,Fm,1,,,
Mendelevium,Md,1,,,
Nobelium,No,1,,,
Lawrencium,Lr,1,,,
Rutherfordium,Rf,1,,,
Dubnium,Db,1,,,
Seaborgium,Sg,1,,,
Bohrium,Bh,1,,,
Hassium,Hs,1,,,
Meitnerium,Mt,1,,,
Darmstadtium,Ds,1,,,
Roentgenium,Rg,1,,,
Copernicium,Cn,1,,,
Nihonium,Nh,1,,,
Flerovium,Fl,1,,,
Moscovium,Mc,1,,,
Livermorium,Lv,1,,,
Tennessine,Ts,1,,,
Oganesson,Og,1,,,
