element,sample_count,file_count,charges
Ag,960,480,1
Al,1887,629,1;2;3
Ar,6,2,1
As,660,330,1;2
Au,654,327,1;2
B,2406,401,1;2;3
Ba,4619,689,2
Be,242,121,1;2
Bi,966,483,1;2
Br,574,287,1
C,19781,5000,1;2
Ca,5918,631,1;2
Ce,4360,371,1;2;3
Cl,1984,496,1;2
Co,1540,770,1;2
Cr,4362,557,1;2
Cs,784,392,1;2
Cu,3552,888,1;2
Dy,6356,304,1;2;3
Er,4472,250,1;2;3
F,958,958,1
Fe,11822,1000,1;2;3
Ga,2056,514,1;2
Gd,3894,186,1;2;3
Ge,5165,517,1;2
H,5000,5000,1
He,2,2,1
Hf,5507,307,1;2;3
Hg,1878,269,1
I,237,237,1
In,2036,510,1;2
Ir,510,255,2
K,1242,621,1
La,2871,504,1;2;3
Li,4388,1097,1;2
Mg,11067,1855,1;2
Mn,1792,896,1;2
Mo,11109,535,1;2;3
N,19633,5000,1;2
Na,622,622,1
Nb,910,455,1;2
Nd,7170,344,1;2;3
Ne,3,1,1
Ni,7150,741,1;2
O,19562,5000,1;2
Os,1186,198,2
P,1284,428,1;2;3
Pb,2168,271,1;2
Pd,5139,429,1;2
Pr,930,310,1;2;3
Pt,3328,333,1;2
Pu,840,140,1;2
Rb,954,477,1
Re,720,180,1;2
Rh,668,334,1;2
Rn,1248,208,1;2
Ru,6302,304,1;2;3
S,5989,1009,1;2
Sb,3270,545,1;2
Sc,608,304,1;2
Se,7550,632,1;2
Si,6387,712,1;2;3
Sm,6157,297,1;2;3
Sn,6250,521,1;2
Ta,831,277,1;2;3
Tb,789,263,1;2;3
Tc,2688,448,1;2
Ti,9799,668,1;2;3
Tl,626,313,1
U,980,245,1;2
V,2506,684,1;2
W,11111,561,1;2;3;4
Xe,98,7,1;2
Y,1016,508,1;2
Zn,5578,567,1;2
Zr,5409,379,2;3;4
