canonical_formula,sample_count,file_count,charges
AgCl,946,63,1;2;3;4
Al2O,3574,628,1;2;3;4
Al3O,3145,611,1;2;3;4
AlH,572,572,1
AlH2,513,513,1
AlH2O,1404,499,1;2;3;4
AlO,4525,629,1;2;3;4
AlO2,5781,629,1;2;3;4
AlY,304,77,1;2;3;4
As2,1249,330,1;2;3;4
As3,1158,327,1;2;3;4
As4,1008,314,1;2;3;4
As5,729,251,2;3;4
AsClH,302,42,1;2;3;4
AsHSi,471,48,1;2;3;4
AsP,96,24,1;2;3;4
AuH,1262,327,1;2;3;4
AuH2,1300,326,1;2;3;4
AuH4O,82,20,1;2;3;4
AuN,2560,327,1;2;3;4
AuN2,2170,327,1;2;3;4
AuZn,953,52,1;2;3;4
BO,2717,401,1;2
BO2,5126,401,1;2;3;4
BaO,29984,689,1;2;3;4
BeFe,398,28,1;2;3;4
BeH,121,121,1
BeH2,98,98,1
BeO,203,121,1
BrO2,4899,287,1;2;3;4
C2,8287,4047,1
C2Ni,9311,711,1;2;3;4
C2O,18618,4826,1;2
C3,7778,3275,1;2
CCr,9927,557,1;2;3;4
CMo,21789,535,1;2;3;4
CN,11464,4865,1
CNi,18545,741,1;2;3;4
CO2,46315,4961,1;2;3;4
CPt,11492,333,1;2;3;4
CRu,13848,304,1;2;3;4
CSi,3315,712,1
CW,12925,561,1;2;3;4
CoO,5878,770,1;2;3;4
CoO2,7404,770,1;2;3;4
CoO3,7667,763,1;2;3;4
CrN,10179,557,1;2;3;4
CrO,12613,557,1;2;3;4
CuH,5813,887,1;2;3;4
CuH2,5938,884,1;2;3;4
CuO,13293,888,1;2;3;4
CuZn,3869,125,1;2;3;4
FeH,14742,1000,1;2;3;4
FeHO,13274,1000,1;2;3;4
FeMn,2922,200,1;2;3;4
FeO,22114,1000,1;2;3;4
FeS,8888,246,1;2;3;4
GaH,3742,514,1;2;3;4
GaH2,3645,510,1;2;3;4
H2,5000,5000,1
H2O,5614,4266,1
H2OSi,1374,514,1;2;3;4
H2Ti,6377,638,1;2;3;4
H2Zr,4647,373,1;2;3;4
H3,4889,4889,1
H3O,3107,2872,1
H3OSi,439,143,1;2;3;4
H5O2,308,197,1
HHfO,6746,307,1;2;3;4
HMn,3341,896,1;2;3;4
HMnO2,4084,872,1;2;3;4
HMnO3,3641,737,1;2;3;4
HMnO4,2916,640,1;2;3;4
HNi,13400,741,1;2;3;4
HNiO,13021,741,1;2;3;4
HO,9151,5000,1
HO2,8628,4662,1
HOSi,6514,712,1;2;3;4
HSc,1182,304,1;2;3;4
HTi,10087,668,1;2;3;4
HZn,9783,567,1;2;3;4
HZr,6933,379,1;2;3;4
HfO,10983,307,1;2;3;4
IK,465,59,1;2;3;4
In2,7653,510,1;2;3;4
InO,7454,510,1;2;3;4
MnO,6852,896,1;2;3;4
MnO2,9421,896,1;2;3;4
MnO3,8586,882,1;2;3;4
MnO4,8307,764,1;2;3;4
Mo2,67656,535,1;2;3;4
MoO,24888,535,1;2;3;4
N2,12703,4873,1
N2O,32900,4949,1;2;3;4
NSi,10227,712,1;2;3;4
NSi2,15895,712,1;2;3;4
NTi,15529,668,1;2;3;4
NTi2,33208,663,1;2;3;4
NW,14447,561,1;2;3;4
Ni2O,42211,738,1;2;3;4
NiO,22276,741,1;2;3;4
NiO2,19834,741,1;2;3;4
NiO3,15717,724,1;2;3;4
O2,13770,4898,1
O2P,3907,428,1;2;3;4
O2Si,13028,712,1;2;3;4
O2Ta,2912,277,1;2;3;4
O2Ti,21979,668,1;2;3;4
O2V,9816,684,1;2;3;4
O2Zr,11574,379,1;2;3;4
O3Si,10238,700,1;2;3;4
O3Si2,10011,611,1;2;3;4
O3SiZr,1216,50,1;2;3;4
O4Si2,6413,472,1;2;3;4
O5Si2,3845,368,1;2;3;4
OP,3277,428,1;2;3;4
OPb,7766,271,1;2;3;4
OSc,2306,304,1;2;3;4
OSi,12324,712,1;2;3;4
OSn,20609,521,1;2;3;4
OTi,18687,668,1;2;3;4
OU,3164,245,1;2;3;4
OW,17024,561,1;2;3;4
OY,4024,508,1;2;3;4
OY2,3146,504,1;2;3;4
OZr,12445,379,1;2;3;4
RuW,4057,38,1;2;3;4
Ta3,822,274,2;3;4
W2,29412,560,2;3;4
Zn2,37438,567,1;2;3;4
